2017/04/07/minmlb-chamlb-1,14004,min,cha,"Guaranteed Rate Field",1491610200,R,F,0
2017/04/07/nyamlb-balmlb-1,25248,nya,bal,"Oriole Park at Camden Yards",1491610080,R,F,1
2017/04/07/oakmlb-texmlb-1,34235,oak,tex,"Globe Life Park in Arlington",1491610080,R,F,1
2017/04/07/seamlb-anamlb-1,43911,sea,ana,"Angel Stadium of Anaheim",1491610080,R,F,1
2017/04/07/sfnmlb-sdnmlb-1,43441,sfn,sdn,"Petco Park",1491597720,R,F,1
2017/04/07/tormlb-tbamlb-1,12842,tor,tba,"Tropicana Field",1491610320,R,F,1
2017/04/07/wasmlb-phimlb-1,45121,was,phi,"Citizens Bank Park",1491595800,R,F,0
2017/04/08/atlmlb-pitmlb-1,31756,atl,pit,"PNC Park",1491696360,R,F,1
2017/04/08/bosmlb-detmlb-1,32622,bos,det,"Comerica Park",1491675000,R,F,1
2017/04/08/chnmlb-milmlb-1,43080,chn,mil,"Miller Park",1491693000,R,F,0
2017/04/08/cinmlb-slnmlb-1,46558,cin,sln,"Busch Stadium",1491675300,R,F,1
2017/04/08/clemlb-arimlb-1,28437,cle,ari,"Chase Field",1491689400,R,F,1
2017/04/08/kcamlb-houmlb-1,35373,kca,hou,"Minute Maid Park",1491693060,R,F,0
2017/04/08/lanmlb-colmlb-1,48012,lan,col,"Coors Field",1491693120,R,F,1
2017/04/08/miamlb-nynmlb-1,33936,mia,nyn,"Citi Field",1491696600,R,F,0
2017/04/08/minmlb-chamlb-1,23024,min,cha,"Guaranteed Rate Field",1491675000,R,F,1
2017/04/08/nyamlb-balmlb-1,38916,nya,bal,"Oriole Park at Camden Yards",1491685620,R,F,1
2017/04/08/oakmlb-texmlb-1,44410,oak,tex,"Globe Life Park in Arlington",1491696480,R,F,0
2017/04/08/seamlb-anamlb-1,42668,sea,ana,"Angel Stadium of Anaheim",1491697080,R,F,1
2017/04/08/sfnmlb-sdnmlb-1,42397,sfn,sdn,"Petco Park",1491691260,R,F,1
